rank,track_name,artist,listeners,url,pct_listeners
184,WILDFLOWER,Billie Eilish,586,https://www.last.fm/music/Billie+Eilish/_/WILDFLOWER,0.36
185,Woman,Doja Cat,586,https://www.last.fm/music/Doja+Cat/_/Woman,0.36
186,My You,Jung Kook,585,https://www.last.fm/music/Jung+Kook/_/My+You,0.36
187,Ruin the Friendship,Taylor Swift,584,https://www.last.fm/music/Taylor+Swift/_/Ruin+the+Friendship,0.36
188,Selfless,The Strokes,584,https://www.last.fm/music/The+Strokes/_/Selfless,0.36
189,Juno,Sabrina Carpenter,583,https://www.last.fm/music/Sabrina+Carpenter/_/Juno,0.36
190,Nobody’s Son,Sabrina Carpenter,579,https://www.last.fm/music/Sabrina+Carpenter/_/Nobody%E2%80%99s+Son,0.35
191,Moon,BTS,579,https://www.last.fm/music/BTS/_/Moon,0.35
192,CANCELLED!,Taylor Swift,578,https://www.last.fm/music/Taylor+Swift/_/CANCELLED%21,0.35
193,FaSHioN,CORTIS,576,https://www.last.fm/music/CORTIS/_/FaSHioN,0.35
194,Billyeoon Goyangi (Do the Dance),ILLIT,573,https://www.last.fm/music/ILLIT/_/Billyeoon+Goyangi+(Do+the+Dance),0.35
195,Desenfocao',Rauw Alejandro,573,https://www.last.fm/music/Rauw+Alejandro/_/Desenfocao%27,0.35
196,Taste,Sabrina Carpenter,573,https://www.last.fm/music/Sabrina+Carpenter/_/Taste,0.35
197,Airplane pt.2,BTS,572,https://www.last.fm/music/BTS/_/Airplane+pt.2,0.35
198,Yo sé,Yan Block,570,https://www.last.fm/music/Yan+Block/_/Yo+s%C3%A9,0.35
199,Guess featuring billie eilish,Charli xcx,570,https://www.last.fm/music/Charli+xcx/_/Guess+featuring+billie+eilish,0.35
200,Like Him (feat. Lola Young),"Tyler, The Creator",569,"https://www.last.fm/music/Tyler,+The+Creator/_/Like+Him+(feat.+Lola+Young)",0.35
